id,code,name,breadcrumb,level,parent_code
185,19.71,"Kota Pangkal Pinang","Kota Pangkal Pinang, Kepulauan Bangka Belitung",3,19
186,21.01,"Kabupaten Bintan","Kabupaten Bintan, Kepulauan Riau",2,21
187,21.02,"Kabupaten Karimun","Kabupaten Karimun, Kepulauan Riau",2,21
188,21.03,"Kabupaten Natuna","Kabupaten Natuna, Kepulauan Riau",2,21
189,21.04,"Kabupaten Lingga","Kabupaten Lingga, Kepulauan Riau",2,21
190,21.05,"Kabupaten Kepulauan Anambas","Kabupaten Kepulauan Anambas, Kepulauan Riau",2,21
191,21.71,"Kota Batam","Kota Batam, Kepulauan Riau",3,21
192,21.72,"Kota Tanjung Pinang","Kota Tanjung Pinang, Kepulauan Riau",3,21
193,31.01,"Kabupaten Administrasi Kepulauan Seribu","Kabupaten Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta",2,31
194,31.71,"Kota Administrasi Jakarta Pusat","Kota Administrasi Jakarta Pusat, Daerah Khusus Ibukota Jakarta",3,31
195,31.72,"Kota Administrasi Jakarta Utara ","Kota Administrasi Jakarta Utara , Daerah Khusus Ibukota Jakarta",3,31
196,31.73,"Kota Administrasi Jakarta Barat","Kota Administrasi Jakarta Barat, Daerah Khusus Ibukota Jakarta",3,31
197,31.74,"Kota Administrasi Jakarta Selatan","Kota Administrasi Jakarta Selatan, Daerah Khusus Ibukota Jakarta",3,31
198,31.75,"Kota Administrasi Jakarta Timur","Kota Administrasi Jakarta Timur, Daerah Khusus Ibukota Jakarta",3,31
199,32.01,"Kabupaten Bogor","Kabupaten Bogor, Jawa Barat",2,32
200,32.02,"Kabupaten Sukabumi","Kabupaten Sukabumi, Jawa Barat",2,32
201,32.03,"Kabupaten Cianjur","Kabupaten Cianjur, Jawa Barat",2,32
202,32.04,"Kabupaten Bandung","Kabupaten Bandung, Jawa Barat",2,32
203,32.05,"Kabupaten Garut","Kabupaten Garut, Jawa Barat",2,32
204,32.06,"Kabupaten Tasikmalaya","Kabupaten Tasikmalaya, Jawa Barat",2,32
205,32.07,"Kabupaten Ciamis","Kabupaten Ciamis, Jawa Barat",2,32
206,32.08,"Kabupaten Kuningan","Kabupaten Kuningan, Jawa Barat",2,32
207,32.09,"Kabupaten Cirebon","Kabupaten Cirebon, Jawa Barat",2,32
208,32.10,"Kabupaten Majalengka","Kabupaten Majalengka, Jawa Barat",2,32
209,32.11,"Kabupaten Sumedang","Kabupaten Sumedang, Jawa Barat",2,32
210,32.12,"Kabupaten Indramayu","Kabupaten Indramayu, Jawa Barat",2,32
211,32.13,"Kabupaten Subang","Kabupaten Subang, Jawa Barat",2,32
212,32.14,"Kabupaten Purwakarta","Kabupaten Purwakarta, Jawa Barat",2,32
213,32.15,"Kabupaten Karawang","Kabupaten Karawang, Jawa Barat",2,32
214,32.16,"Kabupaten Bekasi","Kabupaten Bekasi, Jawa Barat",2,32
215,32.17,"Kabupaten Bandung Barat","Kabupaten Bandung Barat, Jawa Barat",2,32
216,32.18,"Kabupaten Pangandaran","Kabupaten Pangandaran, Jawa Barat",2,32
217,32.71,"Kota Bogor","Kota Bogor, Jawa Barat",3,32
218,32.72,"Kota Sukabumi","Kota Sukabumi, Jawa Barat",3,32
219,32.73,"Kota Bandung","Kota Bandung, Jawa Barat",3,32
220,32.74,"Kota Cirebon","Kota Cirebon, Jawa Barat",3,32
221,32.75,"Kota Bekasi","Kota Bekasi, Jawa Barat",3,32
222,32.76,"Kota Depok","Kota Depok, Jawa Barat",3,32
223,32.77,"Kota Cimahi","Kota Cimahi, Jawa Barat",3,32
224,32.78,"Kota Tasikmalaya","Kota Tasikmalaya, Jawa Barat",3,32
225,32.79,"Kota Banjar","Kota Banjar, Jawa Barat",3,32
226,33.01,"Kabupaten Cilacap","Kabupaten Cilacap, Jawa Tengah",2,33
227,33.02,"Kabupaten Banyumas","Kabupaten Banyumas, Jawa Tengah",2,33
228,33.03,"Kabupaten Purbalingga","Kabupaten Purbalingga, Jawa Tengah",2,33
229,33.04,"Kabupaten Banjarnegara","Kabupaten Banjarnegara, Jawa Tengah",2,33
230,33.05,"Kabupaten Kebumen","Kabupaten Kebumen, Jawa Tengah",2,33
231,33.06,"Kabupaten Purworejo","Kabupaten Purworejo, Jawa Tengah",2,33
232,33.07,"Kabupaten Wonosobo","Kabupaten Wonosobo, Jawa Tengah",2,33
233,33.08,"Kabupaten Magelang","Kabupaten Magelang, Jawa Tengah",2,33
234,33.09,"Kabupaten Boyolali","Kabupaten Boyolali, Jawa Tengah",2,33
235,33.10,"Kabupaten Klaten","Kabupaten Klaten, Jawa Tengah",2,33
236,33.11,"Kabupaten Sukoharjo","Kabupaten Sukoharjo, Jawa Tengah",2,33
237,33.12,"Kabupaten Wonogiri","Kabupaten Wonogiri, Jawa Tengah",2,33
238,33.13,"Kabupaten Karanganyar","Kabupaten Karanganyar, Jawa Tengah",2,33
239,33.14,"Kabupaten Sragen","Kabupaten Sragen, Jawa Tengah",2,33
240,33.15,"Kabupaten Grobogan","Kabupaten Grobogan, Jawa Tengah",2,33
241,33.16,"Kabupaten Blora","Kabupaten Blora, Jawa Tengah",2,33
242,33.17,"Kabupaten Rembang","Kabupaten Rembang, Jawa Tengah",2,33
243,33.18,"Kabupaten Pati","Kabupaten Pati, Jawa Tengah",2,33
244,33.19,"Kabupaten Kudus","Kabupaten Kudus, Jawa Tengah",2,33
245,33.20,"Kabupaten Jepara","Kabupaten Jepara, Jawa Tengah",2,33
246,33.21,"Kabupaten Demak","Kabupaten Demak, Jawa Tengah",2,33
247,33.22,"Kabupaten Semarang","Kabupaten Semarang, Jawa Tengah",2,33
248,33.23,"Kabupaten Temanggung","Kabupaten Temanggung, Jawa Tengah",2,33
249,33.24,"Kabupaten Kendal","Kabupaten Kendal, Jawa Tengah",2,33
250,33.25,"Kabupaten Batang","Kabupaten Batang, Jawa Tengah",2,33
251,33.26,"Kabupaten Pekalongan","Kabupaten Pekalongan, Jawa Tengah",2,33
252,33.27,"Kabupaten Pemalang","Kabupaten Pemalang, Jawa Tengah",2,33
253,33.28,"Kabupaten Tegal","Kabupaten Tegal, Jawa Tengah",2,33
254,33.29,"Kabupaten Brebes","Kabupaten Brebes, Jawa Tengah",2,33
255,33.71,"Kota Magelang","Kota Magelang, Jawa Tengah",3,33
256,33.72,"Kota Surakarta","Kota Surakarta, Jawa Tengah",3,33
257,33.73,"Kota Salatiga","Kota Salatiga, Jawa Tengah",3,33
258,33.74,"Kota Semarang","Kota Semarang, Jawa Tengah",3,33
259,33.75,"Kota Pekalongan","Kota Pekalongan, Jawa Tengah",3,33
260,33.76,"Kota Tegal","Kota Tegal, Jawa Tengah",3,33
261,34.01,"Kabupaten Kulon Progo","Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",2,34
262,34.02,"Kabupaten Bantul","Kabupaten Bantul, Daerah Istimewa Yogyakarta",2,34
263,34.03,"Kabupaten Gunungkidul","Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta",2,34
264,34.04,"Kabupaten Sleman","Kabupaten Sleman, Daerah Istimewa Yogyakarta",2,34
265,34.71,"Kota Yogyakarta","Kota Yogyakarta, Daerah Istimewa Yogyakarta",3,34
266,35.01,"Kabupaten Pacitan","Kabupaten Pacitan, Jawa Timur",2,35
267,35.02,"Kabupaten Ponorogo","Kabupaten Ponorogo, Jawa Timur",2,35
268,35.03,"Kabupaten Trenggalek","Kabupaten Trenggalek, Jawa Timur",2,35
269,35.04,"Kabupaten Tulungagung","Kabupaten Tulungagung, Jawa Timur",2,35
270,35.05,"Kabupaten Blitar","Kabupaten Blitar, Jawa Timur",2,35
271,35.06,"Kabupaten Kediri","Kabupaten Kediri, Jawa Timur",2,35
272,35.07,"Kabupaten Malang","Kabupaten Malang, Jawa Timur",2,35
273,35.08,"Kabupaten Lumajang","Kabupaten Lumajang, Jawa Timur",2,35
274,35.09,"Kabupaten Jember","Kabupaten Jember, Jawa Timur",2,35
275,35.10,"Kabupaten Banyuwangi","Kabupaten Banyuwangi, Jawa Timur",2,35
276,35.11,"Kabupaten Bondowoso","Kabupaten Bondowoso, Jawa Timur",2,35
277,35.12,"Kabupaten Situbondo","Kabupaten Situbondo, Jawa Timur",2,35
278,35.13,"Kabupaten Probolinggo","Kabupaten Probolinggo, Jawa Timur",2,35
279,35.14,"Kabupaten Pasuruan","Kabupaten Pasuruan, Jawa Timur",2,35
280,35.15,"Kabupaten Sidoarjo","Kabupaten Sidoarjo, Jawa Timur",2,35
281,35.16,"Kabupaten Mojokerto","Kabupaten Mojokerto, Jawa Timur",2,35
282,35.17,"Kabupaten Jombang","Kabupaten Jombang, Jawa Timur",2,35
283,35.18,"Kabupaten Nganjuk","Kabupaten Nganjuk, Jawa Timur",2,35
284,35.19,"Kabupaten Madiun","Kabupaten Madiun, Jawa Timur",2,35
285,35.20,"Kabupaten Magetan","Kabupaten Magetan, Jawa Timur",2,35
286,35.21,"Kabupaten Ngawi","Kabupaten Ngawi, Jawa Timur",2,35
287,35.22,"Kabupaten Bojonegoro","Kabupaten Bojonegoro, Jawa Timur",2,35
288,35.23,"Kabupaten Tuban","Kabupaten Tuban, Jawa Timur",2,35
289,35.24,"Kabupaten Lamongan","Kabupaten Lamongan, Jawa Timur",2,35
290,35.25,"Kabupaten Gresik","Kabupaten Gresik, Jawa Timur",2,35
291,35.26,"Kabupaten Bangkalan","Kabupaten Bangkalan, Jawa Timur",2,35
292,35.27,"Kabupaten Sampang","Kabupaten Sampang, Jawa Timur",2,35
293,35.28,"Kabupaten Pamekasan","Kabupaten Pamekasan, Jawa Timur",2,35
294,35.29,"Kabupaten Sumenep","Kabupaten Sumenep, Jawa Timur",2,35
295,35.71,"Kota Kediri","Kota Kediri, Jawa Timur",3,35
296,35.72,"Kota Blitar","Kota Blitar, Jawa Timur",3,35
297,35.73,"Kota Malang","Kota Malang, Jawa Timur",3,35
298,35.74,"Kota Probolinggo","Kota Probolinggo, Jawa Timur",3,35
299,35.75,"Kota Pasuruan","Kota Pasuruan, Jawa Timur",3,35
300,35.76,"Kota Mojokerto","Kota Mojokerto, Jawa Timur",3,35
301,35.77,"Kota Madiun","Kota Madiun, Jawa Timur",3,35
302,35.78,"Kota Surabaya","Kota Surabaya, Jawa Timur",3,35
303,35.79,"Kota Batu","Kota Batu, Jawa Timur",3,35
304,36.01,"Kabupaten Pandeglang","Kabupaten Pandeglang, Banten",2,36
305,36.02,"Kabupaten Lebak","Kabupaten Lebak, Banten",2,36
306,36.03,"Kabupaten Tangerang","Kabupaten Tangerang, Banten",2,36
307,36.04,"Kabupaten Serang","Kabupaten Serang, Banten",2,36
308,36.71,"Kota Tangerang","Kota Tangerang, Banten",3,36
309,36.72,"Kota Cilegon","Kota Cilegon, Banten",3,36
310,36.73,"Kota Serang","Kota Serang, Banten",3,36
311,36.74,"Kota Tangerang Selatan","Kota Tangerang Selatan, Banten",3,36
312,51.01,"Kabupaten Jembrana","Kabupaten Jembrana, Bali",2,51
313,51.02,"Kabupaten Tabanan","Kabupaten Tabanan, Bali",2,51
314,51.03,"Kabupaten Badung","Kabupaten Badung, Bali",2,51
315,51.04,"Kabupaten Gianyar","Kabupaten Gianyar, Bali",2,51
316,51.05,"Kabupaten Klungkung","Kabupaten Klungkung, Bali",2,51
317,51.06,"Kabupaten Bangli","Kabupaten Bangli, Bali",2,51
318,51.07,"Kabupaten Karangasem","Kabupaten Karangasem, Bali",2,51
319,51.08,"Kabupaten Buleleng","Kabupaten Buleleng, Bali",2,51
320,51.71,"Kota Denpasar","Kota Denpasar, Bali",3,51
321,52.01,"Kabupaten Lombok Barat","Kabupaten Lombok Barat, Nusa Tenggara Barat",2,52
322,52.02,"Kabupaten Lombok Tengah","Kabupaten Lombok Tengah, Nusa Tenggara Barat",2,52
323,52.03,"Kabupaten Lombok Timur","Kabupaten Lombok Timur, Nusa Tenggara Barat",2,52
324,52.04,"Kabupaten Sumbawa","Kabupaten Sumbawa, Nusa Tenggara Barat",2,52
325,52.05,"Kabupaten Dompu","Kabupaten Dompu, Nusa Tenggara Barat",2,52
326,52.06,"Kabupaten Bima","Kabupaten Bima, Nusa Tenggara Barat",2,52
327,52.07,"Kabupaten Sumbawa Barat","Kabupaten Sumbawa Barat, Nusa Tenggara Barat",2,52
328,52.08,"Kabupaten Lombok Utara","Kabupaten Lombok Utara, Nusa Tenggara Barat",2,52
329,52.71,"Kota Mataram","Kota Mataram, Nusa Tenggara Barat",3,52
330,52.72,"Kota Bima","Kota Bima, Nusa Tenggara Barat",3,52
331,53.01,"Kabupaten Kupang","Kabupaten Kupang, Nusa Tenggara Timur",2,53
